factQuestion	factAnswer	factValueQuestion	factValueAnswer	factTagQuestion	factTagAnswer
123064	123063	5000-studynow/mp3/pea.mp3	горошина	{}	{1002=eng-rus}
133916	2309	8000-wordsteps/mp3/pea.mp3	горох	{}	{1002=eng-rus}
133916	123063	8000-wordsteps/mp3/pea.mp3	горошина	{}	{1002=eng-rus}
79379	2312	10000-kreekly/mp3/Joey/cabbage.mp3	капуста	{1008=joey}	{1002=eng-rus}
79380	2312	10000-kreekly/mp3/Kendra/cabbage.mp3	капуста	{1008=kendra}	{1002=eng-rus}
79381	2312	10000-kreekly/mp3/Kimberly/cabbage.mp3	капуста	{1008=kimberly}	{1002=eng-rus}
79382	2312	10000-kreekly/mp3/Justin/cabbage.mp3	капуста	{1008=justin}	{1002=eng-rus}
79383	2312	10000-kreekly/mp3/Joanna/cabbage.mp3	капуста	{1008=joanna}	{1002=eng-rus}
79384	2312	10000-kreekly/mp3/Salli/cabbage.mp3	капуста	{1008=salli}	{1002=eng-rus}
79385	2312	10000-kreekly/mp3/Matthew/cabbage.mp3	капуста	{1008=matthew}	{1002=eng-rus}
118536	2312	5000-studynow/mp3/cabbage.mp3	капуста	{}	{1002=eng-rus}
125283	2312	8000-wordsteps/mp3/cabbage.mp3	капуста	{}	{1002=eng-rus}
60410	2315	10000-kreekly/mp3/Joey/potato.mp3	картофель	{1008=joey}	{1002=eng-rus}
60411	2315	10000-kreekly/mp3/Kendra/potato.mp3	картофель	{1008=kendra}	{1002=eng-rus}
60412	2315	10000-kreekly/mp3/Kimberly/potato.mp3	картофель	{1008=kimberly}	{1002=eng-rus}
60413	2315	10000-kreekly/mp3/Justin/potato.mp3	картофель	{1008=justin}	{1002=eng-rus}
60414	2315	10000-kreekly/mp3/Joanna/potato.mp3	картофель	{1008=joanna}	{1002=eng-rus}
60415	2315	10000-kreekly/mp3/Salli/potato.mp3	картофель	{1008=salli}	{1002=eng-rus}
60416	2315	10000-kreekly/mp3/Matthew/potato.mp3	картофель	{1008=matthew}	{1002=eng-rus}
123323	2315	5000-studynow/mp3/potato.mp3	картофель	{}	{1002=eng-rus}
125526	2315	8000-wordsteps/mp3/potato.mp3	картофель	{}	{1002=eng-rus}
32420	2318	10000-kreekly/mp3/Joey/onion.mp3	лук	{1008=joey}	{1002=eng-rus}
32420	122811	10000-kreekly/mp3/Joey/onion.mp3	лук, луковица	{1008=joey}	{1002=eng-rus}
32421	2318	10000-kreekly/mp3/Kendra/onion.mp3	лук	{1008=kendra}	{1002=eng-rus}
32421	122811	10000-kreekly/mp3/Kendra/onion.mp3	лук, луковица	{1008=kendra}	{1002=eng-rus}
32422	2318	10000-kreekly/mp3/Kimberly/onion.mp3	лук	{1008=kimberly}	{1002=eng-rus}
32422	122811	10000-kreekly/mp3/Kimberly/onion.mp3	лук, луковица	{1008=kimberly}	{1002=eng-rus}
32423	2318	10000-kreekly/mp3/Justin/onion.mp3	лук	{1008=justin}	{1002=eng-rus}
32423	122811	10000-kreekly/mp3/Justin/onion.mp3	лук, луковица	{1008=justin}	{1002=eng-rus}
32424	2318	10000-kreekly/mp3/Joanna/onion.mp3	лук	{1008=joanna}	{1002=eng-rus}
32424	122811	10000-kreekly/mp3/Joanna/onion.mp3	лук, луковица	{1008=joanna}	{1002=eng-rus}
32425	2318	10000-kreekly/mp3/Salli/onion.mp3	лук	{1008=salli}	{1002=eng-rus}
32425	122811	10000-kreekly/mp3/Salli/onion.mp3	лук, луковица	{1008=salli}	{1002=eng-rus}
32426	2318	10000-kreekly/mp3/Matthew/onion.mp3	лук	{1008=matthew}	{1002=eng-rus}
32426	122811	10000-kreekly/mp3/Matthew/onion.mp3	лук, луковица	{1008=matthew}	{1002=eng-rus}
122812	2318	5000-studynow/mp3/onion.mp3	лук	{}	{1002=eng-rus}
122812	122811	5000-studynow/mp3/onion.mp3	лук, луковица	{}	{1002=eng-rus}
125495	2318	8000-wordsteps/mp3/onion.mp3	лук	{}	{1002=eng-rus}
125495	122811	8000-wordsteps/mp3/onion.mp3	лук, луковица	{}	{1002=eng-rus}
98529	2321	10000-kreekly/mp3/Joey/carrot.mp3	морковь	{1008=joey}	{1002=eng-rus}
